program_id,merit
UT6522002,99.83%
UJ6522001,84.82%
UR6522001,87.10%
UW6522001,88.38%
UH6523002,81.67%
UB6523005,Tiada
UB6523006,Tiada
UR6523004,82.82%
UQ6523001,91.21%
US6523002,94.29%
UB6523001,76.43%
UT6523001,98.35%
UR6523005,74.86%
UE6523001,89.03%
UT6581004,92.40%
UC6520001,72.61%
UM6524001,100.00%
UT6524002,88.13%
UT6524003,90.29%
UE6524002,88.10%
UK6524001,99.34%
US6524001,98.28%
UW6524001,93.40%
UJ6524001,88.11%
UT6524001,99.05%
UY6524002,98.28%
UR6524001,80.62%
UC6523001,83.70%
UR6523002,82.59%
UM6521001,100.00%
UT6525001,98.53%
UE6521002,89.26%
UT6521003,93.34%
UE6521001,89.58%
UK6521001,96.62%
US6521001,96.65%
UT6521001,98.75%
UW6521001,90.18%
UB6521001,84.36%
UR6521001,81.19%
UY6525003,95.98%
UJ6521001,85.71%
UT6521005,85.08%
US6523001,96.36%
UY6523002,93.28%
UJ6523003,91.56%
UR6523003,81.47%
UR6523001,76.28%
UT6522001,87.63%
UY6540001,93.51%
UJ6521004,79.08%
UR6540001,89.94%
US6540001,84.06%
UB6481002,97.68%
UW6481004,89.06%
UT6481006,100.00%
US6481002,99.94%
UK6481005,95.55%
UR6524003,80.61%
UT6544001,98.11%
US6524003,82.78%
UR6524002,71.39%
UT6524004,84.26%
UT6525003,89.39%
UT6523004,83.85%
UW6526002,88.29%
US6524002,84.69%
UZ6861001,90.27%
UH6762001,83.94%
US6762001,83.53%
UJ6862001,85.97%
UK6851001,94.43%
UE6813003,84.01%
UE6862001,92.98%
UU6222002,76.54%
UM6227001,94.04%
UL6345003,73.19%
UL6340004,67.95%
UK6342001,91.34%
UU6345011,85.48%
UM6343001,99.54%
UY6343001,99.20%
UU6343002,98.49%
UW6343001,93.54%
UU6343001,99.42%
UH6545002,87.19%
UE6321004,78.37%
UE6321006,76.19%
UE6321003,73.36%
UW6321001,78.24%
UA6321002,71.55%
UU6321001,84.41%
UQ6321001,76.58%
US6321001,89.59%
UE6321005,72.55%
UE6321009,75.39%
UE6321008,81.02%
UE6321007,76.65%
UE6321010,81.42%
UE6321002,73.48%
UQ6321002,73.48%
UR6321001,74.88%
UL6321001,81.65%
UU6222001,80.69%
UM6223003,96.78%
UU6224001,78.50%
UH6461001,79.79%
UH6461002,69.18%
UM6212001,83.80%
UE6726004,99.98%
UY6720002,91.29%
UK6726001,97.46%
US6726003,92.99%
UD6812001,81.52%
UH6541003,82.13%
US6726002,96.95%
UU6342001,86.19%
UE6342002,88.92%
UD6541002,82.85%
UT6345001,95.80%
UW6345004,88.15%
UE6724001,97.66%
UM6724001,99.92%
UE6726003,98.59%
UA6146002,83.78%
US6146005,95.29%
US6146004,94.60%
UE6145002,85.42%
UE6145003,85.95%
US6146006,98.01%
US6146007,97.28%
US6145003,92.27%
UT6145002,86.20%
UA6145028,91.12%
UA6145032,84.52%
UA6145033,89.49%
US6145004,90.96%
UM6143001,93.46%
UY6145001,87.98%
UY6145002,86.48%
UU6145001,89.15%
UU6145005,88.40%
UH6145001,87.15%
UU6145004,95.69%
UU6145002,98.11%
UU6145003,90.85%
UK6145003,87.63%
UK6145002,93.84%
UK6145001,94.76%
UM6145001,93.56%
UE6145004,90.51%
UE6145005,94.74%
UE6145006,93.30%
UE6145007,94.30%
UE6146001,75.77%
UB6146003,Tiada
UB6145001,86.63%
UB6146006,81.23%
UB6146004,Tiada
UB6146002,Tiada
UB6146001,Tiada
UM6312004,91.69%
UM6313002,92.71%
UD6224002,82.24%
UE6224002,89.44%
UE6224001,93.46%
UE6224003,74.99%
UE6213005,75.28%
UM6321001,96.55%
UM6312006,95.29%
UZ6863001,82.58%
UE6212003,82.75%
UK6725001,96.86%
UD6725001,99.77%
UE6725001,100.00%
UY6720005,94.15%
UT6342001,97.30%
