program_id,merit
UD6221002,89.83%
UD6221001,83.12%
UK6221005,90.47%
UK6221003,86.42%
UK6221004,84.56%
UK6221002,95.22%
UK6221001,88.36%
UM6321001,96.55%
UM6312006,95.29%
UQ6221007,82.54%
UQ6221001,79.35%
UQ6221004,72.78%
UZ6863001,82.58%
UQ6221005,68.29%
UE6212003,82.75%
UG6345001,76.04%
UT6342001,97.30%
UG6342001,73.57%
UG6762002,75.01%
UZ6345002,85.20%
UU6345002,89.27%
UT6345003,95.78%
US6345001,98.66%
UQ6345003,72.24%
UQ6345004,68.86%
UU6345007,83.80%
UU6345014,92.22%
UB6345003,70.30%
UE6341002,89.96%
UU6811001,83.09%
UH6811001,78.00%
UE6345012,81.47%
UE6310003,82.68%
UD6345002,68.63%
UU6762002,79.46%
UL6310001,79.08%
UM6343002,92.06%
UU6345012,82.53%
UG6525002,88.88%
UU6812001,80.47%
UG6812001,70.78%
UH6812001,73.51%
UU6345008,84.28%
UW6342001,85.72%
UW6345003,81.57%
UU6345006,89.40%
UZ6345003,85.82%
UU6343004,79.26%
UE6310004,86.33%
UM6813002,93.39%
UE6813002,82.62%
UU6345005,95.58%
UZ6345001,89.73%
UE6581006,75.32%
UB6345002,67.96%
UB6345001,70.10%
UC6345001,83.67%
UU6481002,81.17%
UB6345004,70.37%
UE6345007,78.69%
UE6345011,85.93%
UQ6345002,72.58%
UQ6345001,76.89%
UU6345010,79.91%
UM6345001,98.50%
UY6345001,97.64%
UE6343005,85.05%
UD6343001,89.58%
UU6840001,94.28%
UU6345009,73.01%
UD6345001,74.60%
UK6345002,99.71%
UU6345003,94.03%
UM6762001,98.34%
UE6222001,90.24%
UH6222001,Tiada
UE6222002,85.51%
UM6344001,99.57%
UE6314001,99.91%
UY6344001,100.00%
UU6344002,99.84%
UD6344001,99.75%
UH6344001,99.10%
UQ6344001,99.44%
UT6344001,100.00%
UW6344001,98.31%
UU6344001,100.00%
UL6344001,98.17%
UG6344001,99.39%
US6344001,99.55%
UK6344001,99.81%
UR6344002,Tiada
UM6581002,90.54%
US6581002,92.27%
UE6581003,80.01%
UY6581003,79.98%
UT6581003,83.94%
UQ6343001,93.88%
UU6343003,98.11%
UD6321001,83.95%
UR6340002,70.77%
UR6340001,77.65%
UE6345001,88.68%
UH6345001,81.13%
UH6342001,83.10%
UH6343001,92.71%
UH6345002,78.11%
UE6343002,82.31%
UE6340003,93.94%
UE6343001,87.69%
UE6340001,Tiada
UE6342001,79.10%
UE6840001,80.48%
UE6345008,80.84%
UE6345003,79.56%
UE6345009,82.96%
UE6341001,79.37%
UE6345002,91.59%
UE6345010,87.29%
UE6343003,91.45%
UD6620001,74.53%
UZ6221001,82.15%
UD6640001,80.74%
UH6311002,88.37%
UW6311001,95.64%
UT6311001,93.96%
UB6462002,91.55%
UG6461003,86.71%
UB6441001,73.26%
UG6443003,81.54%
UB6421001,74.65%
UE6811004,83.51%
UE6581005,88.35%
UW6581001,78.96%
UE6525001,82.46%
UE6582001,74.18%
UG6461001,81.87%
UG6461002,79.67%
UB6461001,74.31%
UY6581002,88.28%
UG6840001,92.61%
UB6462001,75.49%
UG6621001,83.43%
UG6624002,85.98%
UD6624001,70.72%
UK6220001,84.70%
UW6421001,78.54%
US6461004,99.81%
UK6462002,98.51%
UW6421003,79.66%
UR6481002,Tiada
UQ6461001,92.34%
UT6214001,83.06%
UQ6462001,90.32%
UT6145001,84.03%
UU6314001,92.06%
UM6813001,90.07%
UT6520001,85.20%
UL6422002,68.86%
UG6545001,63.50%
UG6422001,68.69%
UG6624001,85.30%
UL6422001,73.80%
UR6521008,Tiada
UG6525001,82.90%
UL6620001,68.66%
UL6540002,65.39%
UJ6462001,84.32%
UJ6545002,70.72%
US6461002,99.09%
US6462001,99.99%
UJ6545001,73.94%
UE6526003,73.54%
UH6620001,Tiada
UJ6545003,65.07%
UZ6813001,73.83%
UY6222001,85.64%
UY6321001,81.29%
UY6311001,90.30%
UY6313001,86.04%
UY6227001,88.99%
UY6312001,84.69%
US6310001,93.53%
UG6862001,Tiada
US6813001,81.76%
UW6440001,74.81%
UW6481002,79.28%
UJ6481001,88.63%
UZ6481002,73.93%
UE6481001,96.39%
UE6481004,85.59%
UB6481004,91.14%
