course_id,course,min_credits,req_malaysian,pass_bm,pass_history,pass_eng,credit_bm,credit_history,credit_english,credit_math,credit_science,subject_group_req,remarks
50PD037M00P,Pendidikan Muzik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD037M8MP,Pendidikan Muzik Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD035A00P,Pendidikan Islam Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PAI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PAI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD036J00P,Pendidikan Jasmani Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD037P00P,Pendidikan Awal Kanak-Kanak,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BC"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['BC', 'HISTORY', 'BI']""]"
50PD037B00P,Pendidikan Khas Masalah Pembelajaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD037D00P,Pendidikan Khas Masalah Pendengaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD037L00P,Pendidikan Khas Masalah Penglihatan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD037R00P,Reka Bentuk dan Teknologi Pendidikan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""SCIENCE""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD031S00P,Sains Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 3, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PHYSICS', 'CHEMISTRY', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
