masco_code,job_title,url
3111-36,Penolong Pegawai Sains Gred C29,https://emasco.mohr.gov.my/masco/3111-36
3111-38,Juruteknik Proses Kimia,https://emasco.mohr.gov.my/masco/3111-38
3112-01,Juruteknik Instrumen Perindustrian,https://emasco.mohr.gov.my/masco/3112-01
3112-03,Pembantu Kejuruteraan Awam,https://emasco.mohr.gov.my/masco/3112-03
3112-14,Juruteknik Ukur,https://emasco.mohr.gov.my/masco/3112-14
3112-15,Juruteknik Binaan,https://emasco.mohr.gov.my/masco/3112-15
3112-17,Juruteknik Instrumen Proses,https://emasco.mohr.gov.my/masco/3112-17
3112-25,Penolong Jurutera Awam,https://emasco.mohr.gov.my/masco/3112-25
3112-27,Juruteknik Penyelenggaraan Kemudahan Bangunan Hijau,https://emasco.mohr.gov.my/masco/3112-27
3112-28,Pembantu Juruteknik Penyelenggaraan Kemudahan Bangunan,https://emasco.mohr.gov.my/masco/3112-28
3112-31,Juruteknik Ukur Bahan,https://emasco.mohr.gov.my/masco/3112-31
3112-32,Penolong Juruukur Bahan Gred JA29,https://emasco.mohr.gov.my/masco/3112-32
3112-33,Pembantu Juruukur Bahan,https://emasco.mohr.gov.my/masco/3112-33
3112-37,Penolong Juruukur Bangunan Gred J29,https://emasco.mohr.gov.my/masco/3112-37
3113-03,Juruteknik Kejuruteraan Elektrik Voltan Tinggi,https://emasco.mohr.gov.my/masco/3113-03
3113-04,Pembantu Kejuruteraan Elektrik,https://emasco.mohr.gov.my/masco/3113-04
3113-09,Juruteknik Kejuruteraan Elektrik Transmisi Kuasa Elektrik,https://emasco.mohr.gov.my/masco/3113-09
3113-11,Juruteknik Elektrik Kenderaan,https://emasco.mohr.gov.my/masco/3113-11
3113-14,Juruteknik Elektrik Voltan Tinggi,https://emasco.mohr.gov.my/masco/3113-14
3113-16,Penolong Jurutera Elektrik,https://emasco.mohr.gov.my/masco/3113-16
3114-04,Juruteknik Reka Bentuk Elektronik,https://emasco.mohr.gov.my/masco/3114-04
3114-05,Juruteknik Elektronik Fabrikasi Wafer,https://emasco.mohr.gov.my/masco/3114-05
3115-09,Juruteknik Kejuruteraan Mekanikal (Pertanian),https://emasco.mohr.gov.my/masco/3115-09
3115-14,Pembantu Kejuruteraan Mekanikal,https://emasco.mohr.gov.my/masco/3115-14
3115-18,Juruteknik Kejuruteraan Marin,https://emasco.mohr.gov.my/masco/3115-18
3115-23,Juruteknik Automasi Robot,https://emasco.mohr.gov.my/masco/3115-23
3115-24,Juruteknik Mekatronik,https://emasco.mohr.gov.my/masco/3115-24
3115-25,Juruteknik Mesin,https://emasco.mohr.gov.my/masco/3115-25
3115-27,Juruteknik CNC (Kawalan Berangka Komputer),https://emasco.mohr.gov.my/masco/3115-27
3115-28,Juruteknik Kimpalan,https://emasco.mohr.gov.my/masco/3115-28
