institution_id,course_id,min_credits,min_pass,pass_bm,pass_history,pass_math_or_addmath,pass_science_tech,pass_math_sci,credit_math_sci_tech,credit_math_sci,credit_english,3m_only,no_colorblind,no_disability,req_academic
IJTM-029,IJTM-CET-002,0,2,1,1,0,0,0,0,0,0,0,1,1,
IJTM-029,IJTM-CET-003,0,2,1,1,0,0,0,0,0,0,0,1,1,
IJTM-002,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-008,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-013,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-015,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-016,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-028,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-032,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-034,IJTM-CET-004,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-024,IJTM-CET-005,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-033,IJTM-CET-005,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-034,IJTM-CET-005,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-024,IJTM-CET-006,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-003,IJTM-CET-007,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-019,IJTM-CET-007,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-020,IJTM-CET-007,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-019,IJTM-CET-008,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-032,IJTM-CET-008,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-002,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-003,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-013,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-014,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-016,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-021,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-023,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-024,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-032,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-034,IJTM-CET-009,0,4,1,1,1,1,0,0,0,0,0,1,1,Pass Math/Add Maths & Pass Science/Tech
IJTM-009,IJTM-CET-010,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-010,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-003,IJTM-CET-011,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-020,IJTM-CET-011,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-011,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-012,IJTM-CET-012,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-018,IJTM-CET-013,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-013,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-028,IJTM-CET-014,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-002,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-003,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-008,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-012,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-014,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-017,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-018,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-020,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-024,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-028,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-032,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-034,IJTM-CET-015,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-002,IJTM-CET-016,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-011,IJTM-CET-016,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-024,IJTM-CET-016,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-033,IJTM-CET-016,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-007,IJTM-CET-017,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-013,IJTM-CET-017,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-014,IJTM-CET-017,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-020,IJTM-CET-017,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-032,IJTM-CET-018,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-015,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-017,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-018,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-019,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-020,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-025,IJTM-CET-019,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-013,IJTM-CET-020,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-015,IJTM-CET-020,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-021,IJTM-CET-021,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-030,IJTM-CET-021,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-024,IJTM-CET-022,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-007,IJTM-CET-023,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-012,IJTM-CET-024,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-023,IJTM-CET-024,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-033,IJTM-CET-024,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-002,IJTM-CET-025,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-013,IJTM-CET-025,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-019,IJTM-CET-025,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-032,IJTM-CET-025,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-003,IJTM-CET-026,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-027,IJTM-CET-027,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-020,IJTM-CET-028,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-012,IJTM-CET-029,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-017,IJTM-CET-029,0,0,0,0,0,0,0,0,0,0,1,1,1,
IJTM-021,IJTM-CET-029,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-021,IJTM-CET-030,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-002,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-003,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-005,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-009,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-023,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-024,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-028,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-033,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-034,IJTM-CET-031,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-024,IJTM-CET-032,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-002,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-003,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-017,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-024,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-028,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-032,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-033,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-034,IJTM-CET-033,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-015,IJTM-CET-034,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-018,IJTM-CET-034,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-020,IJTM-CET-034,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-028,IJTM-CET-034,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-034,IJTM-CET-035,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-002,IJTM-CET-036,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-021,IJTM-CET-037,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-009,IJTM-CET-038,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-019,IJTM-CET-038,0,0,0,0,0,0,0,0,0,0,1,0,1,
IJTM-023,IJTM-CET-038,0,0,0,0,0,0,0,0,0,0,1,0,1,
