course_id,course,wbl,industry_demand,salary_range
UD4343002,DIPLOMA KEWANGAN,0,0,
UE4321001,DIPLOMA KOMUNIKASI DAN MEDIA,0,0,
UD4221008,DIPLOMA MEDIA PENYIARAN ISLAM,0,0,
UE4421001,DIPLOMA MIKROBIOLOGI,0,0,
UE4343005,DIPLOMA MUAMALAT,0,0,
UA4212001,DIPLOMA MUZIK #,0,0,
UD4342001,DIPLOMA PEMASARAN,0,0,
UP4310001,"DIPLOMA PEMBANGUNAN MANUSIA (KAMPUS BINTULU, SARAWAK)",0,0,
UE4724001,DIPLOMA PEMBANTU PEMBEDAHAN PERGIGIAN,0,0,
UE4726001,DIPLOMA PEMULIHAN CARAKERJA,0,0,
UA4143001,DIPLOMA PENDIDIKAN AWAL KANAK-KANAK #,0,0,
UE4143001,DIPLOMA PENDIDIKAN AWAL KANAK-KANAK #,0,0,
UE4146001,DIPLOMA PENDIDIKAN ISLAM #,0,0,
UD4343001,DIPLOMA PENGAJIAN BANK,0,0,
UD4343003,DIPLOMA PENGAJIAN INSURANS,0,0,
UE4343003,DIPLOMA PENGAJIAN INSURANS,0,0,
UE4343002,DIPLOMA PENGAJIAN PERBANKAN,0,0,
UE4340001,DIPLOMA PENGAJIAN PERNIAGAAN,0,0,
UE4340002,DIPLOMA PENGAJIAN PERNIAGAAN (PENGANGKUTAN),0,0,
UE4813001,DIPLOMA PENGAJIAN SUKAN,0,0,
UA4220001,DIPLOMA PENGAJIAN TURATH ISLAMI #,0,0,
UE4725002,DIPLOMA PENGIMEJAN PERUBATAN,0,0,
UE4346001,DIPLOMA PENGURUSAN DAN TEKNOLOGI PEJABAT,0,0,
UE4221001,DIPLOMA PENGURUSAN HALAL,0,0,
UE4581002,DIPLOMA PENGURUSAN HARTANAH,0,0,
UE4811002,DIPLOMA PENGURUSAN HOTEL,0,0,
UE4620002,DIPLOMA PENGURUSAN INDUSTRI PERLADANGAN,0,0,
UZ4345001,DIPLOMA PENGURUSAN LOGISTIK,0,0,
UE4322001,DIPLOMA PENGURUSAN MAKLUMAT,0,0,
UE4812001,DIPLOMA PENGURUSAN PELANCONGAN,0,0,
UE4811004,DIPLOMA PENGURUSAN PERKHIDMATAN MAKANAN,0,0,
